Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Gambling Change Persons and Booth Cashiers (41-2012),790,0.7,$27.50 ,"$57,210 ",0.3,$16.25 ,$19.16 ,$29.85 ,$32.68 ,$33.02 ,"$33,810 ","$39,850 ","$62,090 ","$67,980 ","$68,690 ",0.248,1.74
Counter and Rental Clerks (41-2021),"8,100",7.8,$24.51 ,"$50,980 ",3.9,$15.88 ,$17.21 ,$19.41 ,$26.52 ,$36.39 ,"$33,020 ","$35,790 ","$40,360 ","$55,170 ","$75,700 ",2.533,0.98
Parts Salespersons (41-2022),"4,220",6.6,$23.36 ,"$48,580 ",2.9,$14.75 ,$16.60 ,$20.67 ,$27.18 ,$37.74 ,"$30,690 ","$34,530 ","$43,000 ","$56,540 ","$78,500 ",1.319,0.77
Retail Salespersons (41-2031),"88,490",2,$18.44 ,"$38,360 ",0.7,$14.46 ,$15.03 ,$16.98 ,$18.16 ,$22.50 ,"$30,070 ","$31,260 ","$35,320 ","$37,780 ","$46,790 ",27.68,1.12
Advertising Sales Agents (41-3011),"1,530",26.1,$32.46 ,"$67,510 ",8.8,$21.38 ,$24.54 ,$26.33 ,$36.04 ,$48.01 ,"$44,480 ","$51,040 ","$54,760 ","$74,960 ","$99,850 ",0.478,0.76
Insurance Sales Agents (41-3021),"9,910",10.2,$32.49 ,"$67,580 ",5.6,$17.78 ,$20.84 ,$28.56 ,$37.08 ,$49.17 ,"$36,990 ","$43,340 ","$59,400 ","$77,120 ","$102,280 ",3.1,1.02
"Securities, Commodities, and Financial Services Sales Agents (41-3031)","14,170",5.7,$42.42 ,"$88,240 ",12.4,$22.29 ,$23.78 ,$29.44 ,$47.07 ,$61.74 ,"$46,370 ","$49,470 ","$61,240 ","$97,910 ","$128,410 ",4.432,1.45
Travel Agents (41-3041),"2,020",9.6,$26.57 ,"$55,260 ",2.1,$16.13 ,$21.98 ,$23.68 ,$28.91 ,$38.74 ,"$33,560 ","$45,730 ","$49,260 ","$60,120 ","$80,570 ",0.631,1.64
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091)","26,210",5.7,$38.18 ,"$79,420 ",2.3,$19.21 ,$23.67 ,$31.36 ,$46.15 ,$61.30 ,"$39,960 ","$49,240 ","$65,240 ","$95,990 ","$127,500 ",8.199,1.06
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011)","10,670",8.9,$47.18 ,"$98,130 ",4,$21.28 ,$29.13 ,$40.01 ,$62.84 ,$79.48 ,"$44,260 ","$60,600 ","$83,220 ","$130,710 ","$165,310 ",3.337,1.75
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012)","18,240",4.9,$38.84 ,"$80,790 ",2.6,$18.43 ,$23.12 ,$31.49 ,$46.55 ,$64.33 ,"$38,330 ","$48,090 ","$65,500 ","$96,810 ","$133,800 ",5.706,0.69
Demonstrators and Product Promoters (41-9011),"1,930",22.6,$19.81 ,"$41,200 ",10.1,$14.57 ,$15.92 ,$16.00 ,$23.25 ,$30.43 ,"$30,300 ","$33,120 ","$33,280 ","$48,360 ","$63,300 ",0.604,1.44
Real Estate Brokers (41-9021),(8) -,(8) -,$36.25 ,"$75,400 ",9.4,$15.04 ,$19.51 ,$26.18 ,$49.95 ,$73.97 ,"$31,280 ","$40,570 ","$54,460 ","$103,900 ","$153,850 ",(8) -,(8) -
Real Estate Sales Agents (41-9022),"8,240",19.6,$32.96 ,"$68,570 ",6.9,$15.35 ,$18.97 ,$25.66 ,$40.36 ,$50.40 ,"$31,930 ","$39,460 ","$53,370 ","$83,940 ","$104,830 ",2.577,2.08
Sales Engineers (41-9031),"1,220",9.8,$83.87 ,"$174,450 ",3,$45.87 ,$58.37 ,$81.48 ,$106.75 ,$110.39 ,"$95,400 ","$121,410 ","$169,470 ","$222,050 ","$229,600 ",0.383,1.04
Telemarketers (41-9041),"1,870",21.5,$24.14 ,"$50,220 ",18.4,$14.35 ,$14.70 ,$16.51 ,$23.91 ,$47.98 ,"$29,850 ","$30,570 ","$34,330 ","$49,730 ","$99,790 ",0.585,1.36
"Sales and Related Workers, All Other (41-9099)","1,080",18,$25.15 ,"$52,310 ",5.7,$15.30 ,$16.88 ,$19.62 ,$29.85 ,$38.74 ,"$31,820 ","$35,110 ","$40,810 ","$62,080 ","$80,590 ",0.337,0.52
Office and Administrative Support Occupations (43-0000),"413,920",0.9,$23.79 ,"$49,490 ",0.4,$16.60 ,$18.39 ,$22.22 ,$27.02 ,$33.28 ,"$34,520 ","$38,250 ","$46,210 ","$56,200 ","$69,220 ",129.483,1.1
First-Line Supervisors of Office and Administrative Support Workers (43-1011),"31,750",2,$32.15 ,"$66,860 ",0.6,$21.42 ,$24.52 ,$30.30 ,$37.30 ,$44.59 ,"$44,560 ","$51,000 ","$63,030 ","$77,590 ","$92,740 ",9.931,1.02
"Switchboard Operators, Including Answering Service (43-2011)",560,34.5,$19.15 ,"$39,820 ",1.5,$17.18 ,$17.89 ,$18.76 ,$19.84 ,$21.97 ,"$35,730 ","$37,210 ","$39,030 ","$41,280 ","$45,690 ",0.176,0.76
Bill and Account Collectors (43-3011),"6,360",6.1,$23.17 ,"$48,200 ",1.5,$18.11 ,$19.26 ,$22.09 ,$24.99 ,$28.95 ,"$37,660 ","$40,070 ","$45,950 ","$51,970 ","$60,220 ",1.99,1.86
Billing and Posting Clerks (43-3021),"10,330",6.6,$23.02 ,"$47,880 ",1,$18.22 ,$20.22 ,$22.69 ,$24.66 ,$28.59 ,"$37,890 ","$42,070 ","$47,200 ","$51,280 ","$59,460 ",3.23,1.19
"Bookkeeping, Accounting, and Auditing Clerks (43-3031)","24,260",3.6,$24.97 ,"$51,930 ",1.1,$17.67 ,$20.89 ,$23.57 ,$27.94 ,$32.61 ,"$36,740 ","$43,460 ","$49,030 ","$58,120 ","$67,830 ",7.589,0.8
Gambling Cage Workers (43-3041),640,0.7,$21.92 ,"$45,590 ",0.3,$18.74 ,$19.05 ,$22.11 ,$23.32 ,$25.84 ,"$38,980 ","$39,620 ","$46,000 ","$48,500 ","$53,750 ",0.199,2.27
Payroll and Timekeeping Clerks (43-3051),"3,670",8.4,$25.80 ,"$53,660 ",1.5,$18.63 ,$22.02 ,$24.33 ,$29.04 ,$34.22 ,"$38,760 ","$45,790 ","$50,600 ","$60,400 ","$71,170 ",1.149,1.13
Procurement Clerks (43-3061),"1,140",9.7,$24.45 ,"$50,850 ",2.2,$18.38 ,$20.52 ,$22.51 ,$27.50 ,$31.97 ,"$38,240 ","$42,690 ","$46,820 ","$57,200 ","$66,500 ",0.355,0.91
Tellers (43-3071),"4,260",10.6,$20.83 ,"$43,330 ",1.3,$17.55 ,$18.48 ,$21.07 ,$21.65 ,$23.33 ,"$36,510 ","$38,440 ","$43,830 ","$45,030 ","$48,530 ",1.333,0.61
"Financial Clerks, All Other (43-3099)",690,4.4,$30.40 ,"$63,220 ",0.9,$24.69 ,$27.77 ,$29.38 ,$34.56 ,$37.22 ,"$51,350 ","$57,770 ","$61,110 ","$71,880 ","$77,410 ",0.215,0.89
Brokerage Clerks (43-4011),"1,140",12.1,$30.26 ,"$62,940 ",1.2,$24.80 ,$27.39 ,$30.52 ,$31.62 ,$37.22 ,"$51,580 ","$56,970 ","$63,470 ","$65,770 ","$77,420 ",0.356,1.37
Correspondence Clerks (43-4021),(8) -,(8) -,$21.02 ,"$43,720 ",1.4,$15.80 ,$16.62 ,$18.63 ,$25.97 ,$27.86 ,"$32,870 ","$34,580 ","$38,740 ","$54,010 ","$57,940 ",(8) -,(8) -
"Court, Municipal, and License Clerks (43-4031)","3,520",1.2,$24.16 ,"$50,250 ",0.3,$18.64 ,$19.47 ,$22.65 ,$26.82 ,$29.60 ,"$38,770 ","$40,510 ","$47,110 ","$55,790 ","$61,570 ",1.101,1
"Credit Authorizers, Checkers, and Clerks (43-4041)",230,15.4,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.071,0.92
Customer Service Representatives (43-4051),"89,030",2.5,$22.02 ,"$45,810 ",0.9,$16.13 ,$17.75 ,$20.88 ,$23.83 ,$29.67 ,"$33,550 ","$36,910 ","$43,440 ","$49,570 ","$61,720 ",27.851,1.58
"Eligibility Interviewers, Government Programs (43-4061)","3,840",5.7,$21.55 ,"$44,830 ",0.5,$18.62 ,$18.62 ,$20.05 ,$22.57 ,$27.26 ,"$38,720 ","$38,720 ","$41,690 ","$46,950 ","$56,700 ",1.202,1.19
File Clerks (43-4071),"2,110",8.8,$21.23 ,"$44,160 ",2,$16.15 ,$18.09 ,$19.90 ,$23.34 ,$27.23 ,"$33,600 ","$37,640 ","$41,390 ","$48,550 ","$56,630 ",0.661,1.29
"Hotel, Motel, and Resort Desk Clerks (43-4081)","5,910",5.1,$17.13 ,"$35,630 ",1,$14.70 ,$16.17 ,$17.10 ,$17.44 ,$19.78 ,"$30,570 ","$33,630 ","$35,570 ","$36,280 ","$41,150 ",1.849,1.09
"Interviewers, Except Eligibility and Loan (43-4111)","2,610",6.3,$20.46 ,"$42,550 ",1.1,$16.65 ,$18.04 ,$19.84 ,$22.21 ,$24.31 ,"$34,630 ","$37,510 ","$41,280 ","$46,190 ","$50,560 ",0.818,0.8
"Library Assistants, Clerical (43-4121)","1,650",1.6,$18.85 ,"$39,200 ",0.3,$15.20 ,$17.01 ,$17.81 ,$19.76 ,$22.55 ,"$31,610 ","$35,390 ","$37,040 ","$41,100 ","$46,900 ",0.515,0.99
Loan Interviewers and Clerks (43-4131),"5,340",8.8,$25.06 ,"$52,120 ",2.3,$17.64 ,$19.30 ,$23.51 ,$30.11 ,$33.51 ,"$36,700 ","$40,150 ","$48,910 ","$62,620 ","$69,700 ",1.67,1.49
Order Clerks (43-4151),"1,020",17.4,$22.58 ,"$46,970 ",2.2,$18.00 ,$19.09 ,$22.21 ,$24.00 ,$28.44 ,"$37,440 ","$39,710 ","$46,210 ","$49,920 ","$59,150 ",0.319,0.59
"Human Resources Assistants, Except Payroll and Timekeeping (43-4161)","1,560",4.4,$23.78 ,"$49,470 ",1.2,$16.96 ,$20.14 ,$23.42 ,$26.43 ,$31.88 ,"$35,270 ","$41,890 ","$48,720 ","$54,980 ","$66,310 ",0.488,0.81
Receptionists and Information Clerks (43-4171),"25,160",4.1,$18.95 ,"$39,420 ",0.8,$15.06 ,$16.84 ,$18.34 ,$20.73 ,$23.00 ,"$31,320 ","$35,020 ","$38,150 ","$43,120 ","$47,840 ",7.87,1.26
Reservation and Transportation Ticket Agents and Travel Clerks (43-4181),"3,020",12,$23.27 ,"$48,390 ",2.5,$17.00 ,$18.04 ,$19.87 ,$28.11 ,$35.48 ,"$35,350 ","$37,520 ","$41,320 ","$58,480 ","$73,810 ",0.946,1.14
"Information and Record Clerks, All Other (43-4199)","4,940",5.1,$23.32 ,"$48,510 ",1.5,$16.36 ,$18.11 ,$21.92 ,$27.08 ,$30.99 ,"$34,030 ","$37,660 ","$45,590 ","$56,330 ","$64,460 ",1.544,1.65
Cargo and Freight Agents (43-5011),"3,050",8.5,$22.84 ,"$47,510 ",2.5,$17.49 ,$19.12 ,$20.50 ,$24.87 ,$31.37 ,"$36,380 ","$39,770 ","$42,640 ","$51,720 ","$65,240 ",0.954,1.5
Couriers and Messengers (43-5021),"1,010",32.6,$17.91 ,"$37,250 ",6,$14.35 ,$14.37 ,$17.89 ,$19.70 ,$21.45 ,"$29,850 ","$29,890 ","$37,220 ","$40,970 ","$44,620 ",0.317,0.68
Public Safety Telecommunicators (43-5031),"1,630",2.8,$27.15 ,"$56,470 ",0.7,$19.75 ,$22.97 ,$26.09 ,$29.38 ,$37.11 ,"$41,080 ","$47,770 ","$54,270 ","$61,120 ","$77,180 ",0.511,0.78
"Dispatchers, Except Police, Fire, and Ambulance (43-5032)","5,340",6.5,$23.87 ,"$49,650 ",1.2,$17.05 ,$18.93 ,$22.46 ,$27.00 ,$31.27 ,"$35,460 ","$39,380 ","$46,710 ","$56,170 ","$65,030 ",1.671,1.22
"Meter Readers, Utilities (43-5041)",530,4,$27.94 ,"$58,120 ",0.8,$17.82 ,$18.73 ,$23.07 ,$39.67 ,$41.58 ,"$37,070 ","$38,960 ","$47,980 ","$82,520 ","$86,480 ",0.164,1.29
Postal Service Clerks (43-5051),"1,230",0,$29.67 ,"$61,710 ",0,$20.48 ,$26.79 ,$29.63 ,$35.60 ,$35.60 ,"$42,600 ","$55,720 ","$61,630 ","$74,050 ","$74,050 ",0.384,0.76
Postal Service Mail Carriers (43-5052),"5,470",0,$29.18 ,"$60,690 ",0,$19.83 ,$22.13 ,$28.16 ,$36.20 ,$37.97 ,"$41,250 ","$46,030 ","$58,570 ","$75,300 ","$78,980 ",1.711,0.79
"Postal Service Mail Sorters, Processors, and Processing Machine Operators (43-5053)","1,940",0,$27.54 ,"$57,280 ",0,$20.48 ,$22.11 ,$27.14 ,$35.08 ,$35.60 ,"$42,600 ","$45,990 ","$56,450 ","$72,970 ","$74,050 ",0.607,0.84
"Production, Planning, and Expediting Clerks (43-5061)","10,900",4.1,$28.78 ,"$59,860 ",1.1,$18.90 ,$22.42 ,$27.05 ,$33.70 ,$40.85 ,"$39,310 ","$46,630 ","$56,270 ","$70,100 ","$84,960 ",3.41,1.37
"Shipping, Receiving, and Inventory Clerks (43-5071)","18,100",4.8,$21.36 ,"$44,430 ",1.1,$16.75 ,$17.91 ,$20.55 ,$23.33 ,$28.18 ,"$34,850 ","$37,260 ","$42,740 ","$48,530 ","$58,620 ",5.661,1.02
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping (43-5111)",460,25.8,$21.32 ,"$44,340 ",1.9,$17.90 ,$19.07 ,$21.09 ,$22.83 ,$23.78 ,"$37,240 ","$39,660 ","$43,870 ","$47,490 ","$49,460 ",0.144,0.45
Executive Secretaries and Executive Administrative Assistants (43-6011),"6,640",9.2,$35.10 ,"$73,000 ",2.7,$22.57 ,$25.32 ,$32.66 ,$39.23 ,$48.82 ,"$46,940 ","$52,660 ","$67,930 ","$81,590 ","$101,540 ",2.077,0.68
Legal Secretaries and Administrative Assistants (43-6012),"3,320",14.2,$25.00 ,"$52,000 ",5.6,$17.44 ,$20.10 ,$23.07 ,$29.24 ,$38.13 ,"$36,280 ","$41,800 ","$47,990 ","$60,820 ","$79,310 ",1.039,1.04
Medical Secretaries and Administrative Assistants (43-6013),"16,650",4.7,$22.92 ,"$47,670 ",1.7,$18.00 ,$19.49 ,$22.36 ,$24.04 ,$29.06 ,"$37,440 ","$40,540 ","$46,510 ","$50,000 ","$60,450 ",5.207,0.97
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014)","31,620",3.5,$23.18 ,"$48,210 ",1.1,$16.73 ,$18.57 ,$22.13 ,$25.29 ,$30.94 ,"$34,790 ","$38,620 ","$46,020 ","$52,600 ","$64,340 ",9.89,0.88
Data Entry Keyers (43-9021),"3,750",18.6,$21.19 ,"$44,070 ",3.4,$15.46 ,$17.52 ,$20.58 ,$24.00 ,$26.34 ,"$32,150 ","$36,440 ","$42,800 ","$49,910 ","$54,790 ",1.173,1.34
Word Processors and Typists (43-9022),70,15.7,$24.79 ,"$51,570 ",5.7,$18.00 ,$21.45 ,$23.18 ,$28.28 ,$32.63 ,"$37,440 ","$44,610 ","$48,210 ","$58,820 ","$67,860 ",0.023,0.1
Desktop Publishers (43-9031),80,22.9,$28.14 ,"$58,520 ",2.1,$21.79 ,$24.36 ,$26.11 ,$29.64 ,$39.33 ,"$45,310 ","$50,660 ","$54,310 ","$61,660 ","$81,810 ",0.024,0.91
Insurance Claims and Policy Processing Clerks (43-9041),"8,240",8.1,$23.79 ,"$49,490 ",1,$19.00 ,$21.50 ,$23.69 ,$24.31 ,$28.53 ,"$39,510 ","$44,730 ","$49,270 ","$50,570 ","$59,340 ",2.577,1.73
"Mail Clerks and Mail Machine Operators, Except Postal Service (43-9051)",910,24.9,$17.99 ,"$37,420 ",1.6,$15.29 ,$16.59 ,$17.10 ,$18.86 ,$21.94 ,"$31,800 ","$34,510 ","$35,560 ","$39,220 ","$45,640 ",0.284,0.7
"Office Clerks, General (43-9061)","53,120",2.5,$23.53 ,"$48,940 ",0.9,$15.83 ,$17.82 ,$22.25 ,$26.52 ,$32.13 ,"$32,930 ","$37,070 ","$46,290 ","$55,170 ","$66,840 ",16.617,1.02
"Office Machine Operators, Except Computer (43-9071)",(8) -,(8) -,$16.54 ,"$34,410 ",15.3,$14.87 ,$14.87 ,$14.87 ,$16.56 ,$22.40 ,"$30,930 ","$30,930 ","$30,940 ","$34,450 ","$46,590 ",(8) -,(8) -
Statistical Assistants (43-9111),160,34.2,$25.62 ,"$53,290 ",1.6,$22.21 ,$24.67 ,$26.44 ,$26.97 ,$28.43 ,"$46,200 ","$51,320 ","$55,000 ","$56,090 ","$59,130 ",0.049,1.27
"Office and Administrative Support Workers, All Other (43-9199)","4,070",3.4,$22.87 ,"$47,580 ",0.8,$14.35 ,$17.06 ,$22.84 ,$27.73 ,$31.11 ,"$29,850 ","$35,480 ","$47,510 ","$57,690 ","$64,710 ",1.273,1
"Farming, Fishing, and Forestry Occupations (45-0000)","8,610",6.9,$18.61 ,"$38,720 ",1.6,$14.84 ,$16.21 ,$16.47 ,$18.02 ,$23.82 ,"$30,880 ","$33,720 ","$34,260 ","$37,470 ","$49,540 ",2.694,0.94
"First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)",590,15.8,$32.84 ,"$68,310 ",2.8,$22.36 ,$27.55 ,$34.09 ,$37.64 ,$40.73 ,"$46,510 ","$57,300 ","$70,910 ","$78,290 ","$84,720 ",0.183,0.96
Agricultural Inspectors (45-2011),170,4.9,$22.19 ,"$46,160 ",0.8,$18.00 ,$18.00 ,$21.20 ,$25.84 ,$26.82 ,"$37,440 ","$37,440 ","$44,100 ","$53,750 ","$55,780 ",0.054,0.69
Agricultural Equipment Operators (45-2091),"1,020",29.8,$17.86 ,"$37,140 ",4.1,$15.27 ,$16.09 ,$16.48 ,$17.85 ,$22.29 ,"$31,760 ","$33,460 ","$34,270 ","$37,120 ","$46,370 ",0.319,1.59
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092)","5,720",10.8,$17.14 ,"$35,650 ",1.4,$14.84 ,$16.21 ,$16.43 ,$17.45 ,$18.92 ,"$30,880 ","$33,720 ","$34,180 ","$36,290 ","$39,350 ",1.79,1.05
"Farmworkers, Farm, Ranch, and Aquacultural Animals (45-2093)",510,23.4,$19.32 ,"$40,190 ",4.6,$15.00 ,$16.58 ,$18.02 ,$19.35 ,$25.31 ,"$31,200 ","$34,490 ","$37,470 ","$40,240 ","$52,640 ",0.158,0.69
"Agricultural Workers, All Other (45-2099)",(8) -,(8) -,$20.15 ,"$41,900 ",5.1,$17.98 ,$18.58 ,$19.66 ,$21.16 ,$23.33 ,"$37,410 ","$38,650 ","$40,890 ","$44,010 ","$48,530 ",(8) -,(8) -
Logging Equipment Operators (45-4022),40,38.1,$25.87 ,"$53,810 ",8.5,$19.66 ,$23.02 ,$24.46 ,$28.74 ,$34.85 ,"$40,890 ","$47,880 ","$50,870 ","$59,780 ","$72,490 ",0.014,0.1
Construction and Extraction Occupations (47-0000),"170,970",1.8,$28.53 ,"$59,340 ",0.7,$18.57 ,$22.27 ,$27.34 ,$32.86 ,$39.72 ,"$38,630 ","$46,330 ","$56,860 ","$68,340 ","$82,620 ",53.482,1.3
First-Line Supervisors of Construction Trades and Extraction Workers (47-1011),"21,250",3.3,$38.27 ,"$79,600 ",1.1,$27.92 ,$31.06 ,$37.67 ,$43.93 ,$49.73 ,"$58,080 ","$64,610 ","$78,350 ","$91,380 ","$103,440 ",6.647,1.27
Boilermakers (47-2011),(8) -,(8) -,$35.32 ,"$73,460 ",0.4,$29.74 ,$36.43 ,$36.43 ,$36.43 ,$37.48 ,"$61,860 ","$75,770 ","$75,770 ","$75,770 ","$77,950 ",(8) -,(8) -
Brickmasons and Blockmasons (47-2021),"1,620",18.3,$27.86 ,"$57,950 ",3.6,$20.01 ,$23.09 ,$28.56 ,$30.54 ,$35.94 ,"$41,610 ","$48,030 ","$59,400 ","$63,520 ","$74,750 ",0.506,1.46
Stonemasons (47-2022),340,46.9,$20.21 ,"$42,030 ",19.6,$15.00 ,$15.00 ,$16.40 ,$25.69 ,$27.81 ,"$31,200 ","$31,200 ","$34,120 ","$53,430 ","$57,840 ",0.105,1.85
Carpenters (47-2031),"18,290",7.5,$28.05 ,"$58,340 ",3.5,$18.28 ,$22.11 ,$26.22 ,$33.55 ,$37.54 ,"$38,030 ","$45,980 ","$54,540 ","$69,780 ","$78,090 ",5.723,1.26
Carpet Installers (47-2041),320,45,$27.25 ,"$56,690 ",16.8,$22.00 ,$23.71 ,$26.26 ,$27.15 ,$28.80 ,"$45,760 ","$49,310 ","$54,620 ","$56,470 ","$59,900 ",0.101,1.04
"Floor Layers, Except Carpet, Wood, and Hard Tiles (47-2042)",220,26.3,$24.45 ,"$50,860 ",4.1,$18.46 ,$21.25 ,$22.33 ,$27.75 ,$32.00 ,"$38,390 ","$44,200 ","$46,450 ","$57,730 ","$66,560 ",0.069,0.43
Tile and Stone Setters (47-2044),"1,710",16.7,$24.66 ,"$51,290 ",3.6,$17.29 ,$18.70 ,$23.15 ,$29.55 ,$34.11 ,"$35,970 ","$38,900 ","$48,160 ","$61,470 ","$70,950 ",0.536,2.13
Cement Masons and Concrete Finishers (47-2051),"6,440",6.7,$27.41 ,"$57,010 ",1.4,$21.89 ,$23.37 ,$27.58 ,$29.85 ,$35.73 ,"$45,520 ","$48,610 ","$57,360 ","$62,090 ","$74,320 ",2.014,1.51
Construction Laborers (47-2061),"30,310",4.9,$22.70 ,"$47,220 ",0.9,$17.54 ,$18.97 ,$22.21 ,$25.03 ,$29.16 ,"$36,470 ","$39,450 ","$46,200 ","$52,070 ","$60,660 ",9.483,1.38
"Paving, Surfacing, and Tamping Equipment Operators (47-2071)",210,27.1,$27.02 ,"$56,210 ",10.2,$14.80 ,$22.29 ,$29.06 ,$35.50 ,$35.88 ,"$30,780 ","$46,350 ","$60,450 ","$73,830 ","$74,640 ",0.067,0.23
Operating Engineers and Other Construction Equipment Operators (47-2073),"13,520",4.8,$28.98 ,"$60,280 ",1.1,$21.97 ,$24.01 ,$28.80 ,$30.92 ,$37.28 ,"$45,700 ","$49,940 ","$59,900 ","$64,310 ","$77,540 ",4.229,1.39
Drywall and Ceiling Tile Installers (47-2081),"3,420",17,$24.16 ,"$50,240 ",5,$17.32 ,$18.07 ,$23.14 ,$28.43 ,$30.82 ,"$36,030 ","$37,590 ","$48,130 ","$59,140 ","$64,110 ",1.07,1.99
Tapers (47-2082),"1,020",23.4,$27.28 ,"$56,750 ",7.2,$17.05 ,$21.04 ,$23.16 ,$30.14 ,$47.42 ,"$35,470 ","$43,750 ","$48,170 ","$62,700 ","$98,620 ",0.318,3.92
Electricians (47-2111),"21,280",6.2,$29.58 ,"$61,520 ",1.4,$21.27 ,$23.32 ,$28.60 ,$35.13 ,$39.12 ,"$44,240 ","$48,510 ","$59,480 ","$73,060 ","$81,370 ",6.657,1.38
Glaziers (47-2121),"2,090",21.2,$25.24 ,"$52,500 ",3.8,$18.00 ,$21.58 ,$24.25 ,$28.54 ,$35.00 ,"$37,440 ","$44,890 ","$50,430 ","$59,370 ","$72,800 ",0.655,1.77
"Insulation Workers, Floor, Ceiling, and Wall (47-2131)",660,32.8,$23.57 ,"$49,020 ",7.7,$16.94 ,$18.22 ,$22.87 ,$27.97 ,$32.18 ,"$35,240 ","$37,900 ","$47,570 ","$58,190 ","$66,940 ",0.208,0.83
"Insulation Workers, Mechanical (47-2132)",(8) -,(8) -,$34.47 ,"$71,690 ",9.7,$21.86 ,$27.36 ,$37.69 ,$39.51 ,$39.51 ,"$45,480 ","$56,900 ","$78,390 ","$82,180 ","$82,190 ",(8) -,(8) -
"Painters, Construction and Maintenance (47-2141)","6,780",4.1,$24.79 ,"$51,570 ",1.4,$18.82 ,$21.14 ,$22.74 ,$27.23 ,$31.30 ,"$39,150 ","$43,970 ","$47,290 ","$56,640 ","$65,100 ",2.12,1.46
Pipelayers (47-2151),700,21,$28.30 ,"$58,850 ",1.1,$22.40 ,$25.06 ,$29.72 ,$30.48 ,$32.86 ,"$46,580 ","$52,130 ","$61,810 ","$63,410 ","$68,340 ",0.218,1
"Plumbers, Pipefitters, and Steamfitters (47-2152)","12,330",8,$32.22 ,"$67,010 ",1.9,$21.32 ,$23.17 ,$29.78 ,$42.34 ,$47.26 ,"$44,340 ","$48,190 ","$61,940 ","$88,060 ","$98,310 ",3.856,1.3
Plasterers and Stucco Masons (47-2161),"1,570",12.6,$27.26 ,"$56,700 ",2.5,$18.22 ,$22.67 ,$26.57 ,$30.16 ,$38.56 ,"$37,900 ","$47,150 ","$55,260 ","$62,730 ","$80,190 ",0.492,3.63
Reinforcing Iron and Rebar Workers (47-2171),(8) -,(8) -,$29.92 ,"$62,230 ",5.9,$25.08 ,$25.08 ,$32.22 ,$32.22 ,$34.89 ,"$52,160 ","$52,160 ","$67,010 ","$67,010 ","$72,560 ",(8) -,(8) -
Roofers (47-2181),"3,760",7.7,$25.33 ,"$52,680 ",3.8,$17.98 ,$21.39 ,$22.22 ,$28.83 ,$29.52 ,"$37,390 ","$44,500 ","$46,210 ","$59,970 ","$61,410 ",1.178,1.33
Sheet Metal Workers (47-2211),"2,990",19.8,$27.38 ,"$56,960 ",6.1,$17.54 ,$20.05 ,$24.73 ,$31.55 ,$38.38 ,"$36,490 ","$41,710 ","$51,440 ","$65,620 ","$79,830 ",0.937,1.23
Structural Iron and Steel Workers (47-2221),"3,110",19.9,$29.16 ,"$60,640 ",4.2,$21.21 ,$24.57 ,$28.86 ,$30.86 ,$36.94 ,"$44,120 ","$51,110 ","$60,030 ","$64,180 ","$76,840 ",0.972,2.31
Solar Photovoltaic Installers (47-2231),"1,360",24,$26.05 ,"$54,190 ",2.5,$22.50 ,$23.18 ,$24.19 ,$29.77 ,$30.58 ,"$46,790 ","$48,210 ","$50,310 ","$61,920 ","$63,600 ",0.426,2.33
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters (47-3011)",480,43.3,$18.92 ,"$39,350 ",14.1,$14.76 ,$16.04 ,$16.05 ,$22.46 ,$24.39 ,"$30,700 ","$33,370 ","$33,370 ","$46,730 ","$50,720 ",0.149,1.47
Helpers--Carpenters (47-3012),610,24.4,$19.84 ,"$41,260 ",1.1,$18.08 ,$19.11 ,$19.47 ,$20.55 ,$22.06 ,"$37,610 ","$39,740 ","$40,500 ","$42,740 ","$45,880 ",0.192,1.2
Helpers--Electricians (47-3013),840,25.8,$21.75 ,"$45,250 ",2.1,$17.75 ,$19.85 ,$21.83 ,$23.60 ,$25.68 ,"$36,910 ","$41,280 ","$45,410 ","$49,090 ","$53,410 ",0.264,0.63
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons (47-3014)",230,26.5,$18.05 ,"$37,540 ",7,$14.76 ,$15.00 ,$17.91 ,$21.93 ,$22.56 ,"$30,690 ","$31,200 ","$37,250 ","$45,610 ","$46,930 ",0.073,1.55
