Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Cargo and Freight Agents (43-5011),140,26.3,$22.50 ,"$46,800 ",7.5,$16.12 ,$16.93 ,$21.53 ,$26.41 ,$36.07 ,"$33,530 ","$35,220 ","$44,770 ","$54,930 ","$75,030 ",0.164,0.26
Couriers and Messengers (43-5021),370,20,$17.37 ,"$36,120 ",2.4,$13.56 ,$15.29 ,$17.69 ,$18.38 ,$20.66 ,"$28,200 ","$31,800 ","$36,790 ","$38,240 ","$42,960 ",0.425,0.91
Public Safety Telecommunicators (43-5031),690,11.1,$23.99 ,"$49,890 ",1.5,$17.55 ,$18.66 ,$23.35 ,$26.99 ,$30.52 ,"$36,500 ","$38,810 ","$48,560 ","$56,140 ","$63,480 ",0.8,1.22
"Dispatchers, Except Police, Fire, and Ambulance (43-5032)","1,230",11,$22.29 ,"$46,360 ",2.4,$14.88 ,$17.36 ,$20.20 ,$25.31 ,$32.27 ,"$30,940 ","$36,120 ","$42,020 ","$52,640 ","$67,120 ",1.428,1.04
"Meter Readers, Utilities (43-5041)",360,34.1,$22.75 ,"$47,310 ",9,$16.86 ,$18.96 ,$19.30 ,$22.86 ,$32.68 ,"$35,060 ","$39,430 ","$40,140 ","$47,560 ","$67,970 ",0.422,3.32
Postal Service Clerks (43-5051),690,0,$28.46 ,"$59,190 ",0,$20.48 ,$25.65 ,$28.86 ,$33.54 ,$36.24 ,"$42,600 ","$53,350 ","$60,030 ","$69,760 ","$75,380 ",0.798,1.58
Postal Service Mail Carriers (43-5052),"1,660",0,$28.31 ,"$58,880 ",0,$19.83 ,$21.88 ,$26.70 ,$36.20 ,$36.96 ,"$41,250 ","$45,510 ","$55,540 ","$75,300 ","$76,880 ",1.932,0.89
"Postal Service Mail Sorters, Processors, and Processing Machine Operators (43-5053)",410,0,$27.50 ,"$57,210 ",0,$20.48 ,$22.11 ,$26.64 ,$35.08 ,$35.60 ,"$42,600 ","$45,990 ","$55,410 ","$72,970 ","$74,050 ",0.48,0.66
"Production, Planning, and Expediting Clerks (43-5061)","1,090",21.3,$25.15 ,"$52,320 ",4.2,$15.09 ,$18.30 ,$22.57 ,$29.36 ,$40.62 ,"$31,400 ","$38,070 ","$46,940 ","$61,080 ","$84,490 ",1.264,0.51
"Shipping, Receiving, and Inventory Clerks (43-5071)","4,210",6.2,$19.23 ,"$40,000 ",1.2,$14.48 ,$16.13 ,$17.90 ,$21.07 ,$26.34 ,"$30,120 ","$33,550 ","$37,240 ","$43,830 ","$54,790 ",4.886,0.88
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping (43-5111)",230,18.9,$22.57 ,"$46,940 ",3.5,$15.53 ,$18.32 ,$23.33 ,$24.94 ,$30.24 ,"$32,300 ","$38,110 ","$48,520 ","$51,880 ","$62,890 ",0.265,0.82
Executive Secretaries and Executive Administrative Assistants (43-6011),"3,130",3,$34.77 ,"$72,320 ",0.6,$24.81 ,$30.82 ,$34.58 ,$39.18 ,$41.50 ,"$51,600 ","$64,100 ","$71,930 ","$81,490 ","$86,320 ",3.636,1.19
Legal Secretaries and Administrative Assistants (43-6012),"1,330",13.2,$24.26 ,"$50,460 ",3,$18.28 ,$20.81 ,$23.03 ,$27.14 ,$31.90 ,"$38,020 ","$43,280 ","$47,900 ","$56,450 ","$66,350 ",1.549,1.55
Medical Secretaries and Administrative Assistants (43-6013),"3,770",4.9,$20.87 ,"$43,410 ",0.9,$16.68 ,$17.66 ,$20.10 ,$23.77 ,$27.23 ,"$34,700 ","$36,730 ","$41,810 ","$49,430 ","$56,640 ",4.382,0.81
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014)","24,510",2.8,$21.16 ,"$44,020 ",0.5,$15.26 ,$17.77 ,$20.65 ,$23.88 ,$27.91 ,"$31,730 ","$36,950 ","$42,960 ","$49,660 ","$58,060 ",28.465,2.53
Data Entry Keyers (43-9021),410,10.4,$20.89 ,"$43,440 ",0.9,$14.21 ,$17.67 ,$21.61 ,$24.90 ,$24.92 ,"$29,560 ","$36,750 ","$44,960 ","$51,790 ","$51,840 ",0.471,0.54
Word Processors and Typists (43-9022),50,2.8,$21.90 ,"$45,560 ",0.2,$17.89 ,$19.86 ,$22.10 ,$24.73 ,$24.99 ,"$37,210 ","$41,310 ","$45,970 ","$51,440 ","$51,980 ",0.061,0.26
Insurance Claims and Policy Processing Clerks (43-9041),790,22.8,$21.14 ,"$43,970 ",4.1,$16.89 ,$17.72 ,$18.71 ,$22.26 ,$26.57 ,"$35,130 ","$36,870 ","$38,910 ","$46,310 ","$55,270 ",0.915,0.62
"Mail Clerks and Mail Machine Operators, Except Postal Service (43-9051)",130,11.4,$18.98 ,"$39,480 ",1.8,$15.01 ,$16.60 ,$18.64 ,$20.71 ,$24.35 ,"$31,210 ","$34,530 ","$38,770 ","$43,090 ","$50,650 ",0.15,0.37
"Office Clerks, General (43-9061)","14,270",3.1,$18.28 ,"$38,030 ",0.7,$13.17 ,$15.00 ,$17.46 ,$20.50 ,$24.31 ,"$27,390 ","$31,190 ","$36,310 ","$42,640 ","$50,560 ",16.571,1.02
"Office Machine Operators, Except Computer (43-9071)",140,34.9,$19.34 ,"$40,240 ",8.6,$13.08 ,$14.83 ,$16.84 ,$21.61 ,$31.50 ,"$27,210 ","$30,840 ","$35,020 ","$44,960 ","$65,520 ",0.165,1.03
"Office and Administrative Support Workers, All Other (43-9199)",230,7.6,$25.09 ,"$52,190 ",1.2,$17.40 ,$21.14 ,$25.14 ,$26.99 ,$31.72 ,"$36,190 ","$43,970 ","$52,300 ","$56,140 ","$65,970 ",0.263,0.21
"Farming, Fishing, and Forestry Occupations (45-0000)","2,690",6.7,$17.45 ,"$36,290 ",2.6,$12.37 ,$12.79 ,$16.06 ,$19.73 ,$25.83 ,"$25,720 ","$26,610 ","$33,400 ","$41,050 ","$53,720 ",3.12,1.09
"First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011)",130,21.8,$28.59 ,"$59,470 ",9,$18.89 ,$20.86 ,$25.92 ,$30.56 ,$41.82 ,"$39,280 ","$43,400 ","$53,910 ","$63,570 ","$86,990 ",0.151,0.79
Agricultural Inspectors (45-2011),120,3.2,$23.94 ,"$49,800 ",0.8,$18.15 ,$20.71 ,$25.22 ,$25.22 ,$27.59 ,"$37,750 ","$43,080 ","$52,460 ","$52,460 ","$57,390 ",0.134,1.71
"Graders and Sorters, Agricultural Products (45-2041)",120,23.4,$14.70 ,"$30,580 ",2.4,$13.09 ,$13.09 ,$14.31 ,$15.53 ,$16.96 ,"$27,230 ","$27,230 ","$29,760 ","$32,310 ","$35,290 ",0.136,0.78
Agricultural Equipment Operators (45-2091),190,31.1,$17.18 ,"$35,730 ",3,$13.34 ,$16.79 ,$17.05 ,$17.71 ,$19.11 ,"$27,750 ","$34,930 ","$35,460 ","$36,830 ","$39,740 ",0.224,1.11
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092)","1,670",9.7,$16.32 ,"$33,940 ",3.1,$12.37 ,$12.64 ,$14.27 ,$17.56 ,$23.59 ,"$25,730 ","$26,290 ","$29,690 ","$36,530 ","$49,070 ",1.944,1.15
"Farmworkers, Farm, Ranch, and Aquacultural Animals (45-2093)",400,26,$17.38 ,"$36,150 ",8.8,$12.00 ,$12.00 ,$15.54 ,$22.44 ,$25.27 ,"$24,960 ","$24,960 ","$32,320 ","$46,670 ","$52,560 ",0.461,2.01
Forest and Conservation Workers (45-4011),(8) -,(8) -,$17.72 ,"$36,870 ",1.8,$16.81 ,$16.81 ,$17.53 ,$18.39 ,$19.57 ,"$34,960 ","$34,970 ","$36,460 ","$38,250 ","$40,710 ",(8) -,(8) -
Construction and Extraction Occupations (47-0000),"56,050",1.5,$26.22 ,"$54,540 ",0.8,$17.18 ,$18.83 ,$23.28 ,$29.87 ,$38.59 ,"$35,730 ","$39,160 ","$48,420 ","$62,130 ","$80,270 ",65.113,1.58
First-Line Supervisors of Construction Trades and Extraction Workers (47-1011),"6,590",4.4,$37.84 ,"$78,710 ",1.9,$22.16 ,$27.93 ,$35.51 ,$44.39 ,$60.79 ,"$46,090 ","$58,100 ","$73,860 ","$92,330 ","$126,440 ",7.657,1.46
Boilermakers (47-2011),60,37.4,$29.35 ,"$61,050 ",7,$17.92 ,$24.87 ,$30.52 ,$34.97 ,$36.30 ,"$37,270 ","$51,720 ","$63,480 ","$72,740 ","$75,500 ",0.071,1.08
Brickmasons and Blockmasons (47-2021),280,18.3,$25.17 ,"$52,350 ",5.6,$19.84 ,$21.97 ,$22.73 ,$26.14 ,$37.01 ,"$41,260 ","$45,690 ","$47,280 ","$54,370 ","$76,980 ",0.321,0.92
Carpenters (47-2031),"3,220",8,$25.75 ,"$53,560 ",2.5,$17.86 ,$21.01 ,$25.00 ,$28.92 ,$36.18 ,"$37,160 ","$43,690 ","$52,010 ","$60,160 ","$75,250 ",3.743,0.83
Carpet Installers (47-2041),180,22.2,$18.70 ,"$38,890 ",7.1,$12.61 ,$12.84 ,$18.33 ,$23.79 ,$27.51 ,"$26,220 ","$26,710 ","$38,130 ","$49,480 ","$57,220 ",0.204,2.1
"Floor Layers, Except Carpet, Wood, and Hard Tiles (47-2042)",120,24.7,$21.42 ,"$44,560 ",5.2,$13.55 ,$14.80 ,$21.87 ,$23.95 ,$28.26 ,"$28,170 ","$30,790 ","$45,490 ","$49,810 ","$58,770 ",0.143,0.89
Tile and Stone Setters (47-2044),190,22.4,$19.77 ,"$41,120 ",5.1,$14.16 ,$15.96 ,$18.71 ,$22.50 ,$26.56 ,"$29,460 ","$33,210 ","$38,920 ","$46,800 ","$55,240 ",0.222,0.89
Cement Masons and Concrete Finishers (47-2051),"1,470",9.6,$24.50 ,"$50,960 ",1.6,$18.64 ,$21.54 ,$23.41 ,$27.36 ,$32.03 ,"$38,770 ","$44,800 ","$48,700 ","$56,910 ","$66,620 ",1.703,1.28
Construction Laborers (47-2061),"10,530",4.8,$20.08 ,"$41,770 ",1.1,$14.82 ,$17.22 ,$18.52 ,$22.71 ,$26.04 ,"$30,830 ","$35,810 ","$38,520 ","$47,230 ","$54,170 ",12.235,1.78
"Paving, Surfacing, and Tamping Equipment Operators (47-2071)","1,060",9.7,$22.26 ,"$46,300 ",1.8,$17.41 ,$18.13 ,$22.03 ,$24.39 ,$28.63 ,"$36,220 ","$37,710 ","$45,820 ","$50,730 ","$59,550 ",1.226,4.14
Operating Engineers and Other Construction Equipment Operators (47-2073),"5,000",8.1,$25.39 ,"$52,820 ",1.2,$19.18 ,$22.59 ,$23.62 ,$28.33 ,$32.50 ,"$39,890 ","$46,980 ","$49,130 ","$58,930 ","$67,590 ",5.811,1.91
Drywall and Ceiling Tile Installers (47-2081),490,19.6,$26.38 ,"$54,870 ",5.3,$17.39 ,$21.01 ,$25.23 ,$30.28 ,$35.50 ,"$36,160 ","$43,700 ","$52,470 ","$62,990 ","$73,840 ",0.566,1.05
Tapers (47-2082),70,23.3,$25.87 ,"$53,810 ",4.1,$21.36 ,$21.86 ,$28.48 ,$28.49 ,$28.49 ,"$44,430 ","$45,470 ","$59,250 ","$59,260 ","$59,260 ",0.078,0.96
Electricians (47-2111),"5,090",6,$28.57 ,"$59,420 ",1.8,$17.59 ,$21.66 ,$27.35 ,$35.32 ,$40.61 ,"$36,590 ","$45,050 ","$56,890 ","$73,470 ","$84,460 ",5.911,1.23
Glaziers (47-2121),430,26.6,$21.68 ,"$45,090 ",2.6,$16.58 ,$18.50 ,$22.09 ,$23.44 ,$26.88 ,"$34,490 ","$38,480 ","$45,950 ","$48,760 ","$55,910 ",0.496,1.34
"Insulation Workers, Floor, Ceiling, and Wall (47-2131)",260,28.4,$23.75 ,"$49,390 ",8.1,$16.95 ,$17.67 ,$20.55 ,$28.22 ,$38.71 ,"$35,260 ","$36,760 ","$42,740 ","$58,700 ","$80,510 ",0.298,1.19
"Insulation Workers, Mechanical (47-2132)",50,34.3,$32.06 ,"$66,670 ",6.1,$18.81 ,$22.60 ,$31.19 ,$36.28 ,$50.41 ,"$39,130 ","$47,020 ","$64,860 ","$75,460 ","$104,840 ",0.06,0.36
"Painters, Construction and Maintenance (47-2141)","1,280",11.7,$22.49 ,"$46,770 ",3,$17.60 ,$18.91 ,$22.07 ,$23.63 ,$26.65 ,"$36,610 ","$39,340 ","$45,910 ","$49,150 ","$55,430 ",1.486,1.02
Pipelayers (47-2151),180,24.4,$21.83 ,"$45,400 ",3.7,$18.00 ,$18.98 ,$20.51 ,$24.49 ,$28.00 ,"$37,440 ","$39,480 ","$42,670 ","$50,930 ","$58,240 ",0.206,0.95
"Plumbers, Pipefitters, and Steamfitters (47-2152)","2,900",7.8,$29.37 ,"$61,090 ",2.5,$18.32 ,$22.50 ,$28.68 ,$36.69 ,$40.43 ,"$38,100 ","$46,800 ","$59,660 ","$76,320 ","$84,090 ",3.363,1.14
Plasterers and Stucco Masons (47-2161),350,15.1,$23.52 ,"$48,920 ",2.5,$17.59 ,$21.96 ,$22.70 ,$25.69 ,$30.00 ,"$36,580 ","$45,670 ","$47,210 ","$53,430 ","$62,400 ",0.408,3.01
Reinforcing Iron and Rebar Workers (47-2171),(8) -,(8) -,$25.70 ,"$53,460 ",8.7,$21.05 ,$22.24 ,$24.40 ,$30.37 ,$30.82 ,"$43,790 ","$46,270 ","$50,750 ","$63,170 ","$64,110 ",(8) -,(8) -
Roofers (47-2181),"1,070",10.5,$20.36 ,"$42,340 ",2.1,$14.18 ,$17.95 ,$21.36 ,$22.44 ,$23.70 ,"$29,500 ","$37,340 ","$44,440 ","$46,670 ","$49,300 ",1.246,1.4
Sheet Metal Workers (47-2211),650,20.7,$30.75 ,"$63,960 ",6.1,$17.54 ,$22.84 ,$28.47 ,$39.53 ,$43.93 ,"$36,490 ","$47,510 ","$59,220 ","$82,220 ","$91,370 ",0.755,0.99
Structural Iron and Steel Workers (47-2221),100,12.6,$32.76 ,"$68,140 ",4.6,$25.39 ,$30.31 ,$36.65 ,$36.65 ,$36.65 ,"$52,820 ","$63,040 ","$76,240 ","$76,240 ","$76,240 ",0.121,0.29
Solar Photovoltaic Installers (47-2231),200,37,$21.94 ,"$45,640 ",4.2,$17.57 ,$18.02 ,$22.24 ,$23.29 ,$27.24 ,"$36,550 ","$37,490 ","$46,260 ","$48,450 ","$56,660 ",0.236,1.29
Helpers--Carpenters (47-3012),90,22.3,$17.11 ,"$35,590 ",3.4,$15.00 ,$15.41 ,$17.42 ,$17.75 ,$19.58 ,"$31,200 ","$32,060 ","$36,240 ","$36,920 ","$40,720 ",0.103,0.64
Helpers--Electricians (47-3013),410,17.5,$19.71 ,"$40,990 ",5.1,$14.61 ,$16.16 ,$19.04 ,$22.81 ,$23.98 ,"$30,400 ","$33,610 ","$39,610 ","$47,450 ","$49,870 ",0.479,1.15
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons (47-3014)",40,36.6,$17.36 ,"$36,110 ",2.1,$13.41 ,$16.23 ,$18.00 ,$18.31 ,$20.28 ,"$27,890 ","$33,750 ","$37,440 ","$38,090 ","$42,190 ",0.051,1.09
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015)",660,15.5,$18.23 ,"$37,910 ",2.1,$14.67 ,$16.50 ,$17.83 ,$18.99 ,$22.30 ,"$30,510 ","$34,320 ","$37,080 ","$39,490 ","$46,380 ",0.764,2.7
Helpers--Roofers (47-3016),(8) -,(8) -,$18.14 ,"$37,730 ",7.7,$14.33 ,$14.85 ,$16.12 ,$22.96 ,$24.22 ,"$29,810 ","$30,880 ","$33,530 ","$47,760 ","$50,390 ",(8) -,(8) -
"Helpers, Construction Trades, All Other (47-3019)",520,42.4,$17.64 ,"$36,700 ",1.2,$17.44 ,$17.47 ,$17.59 ,$17.68 ,$18.16 ,"$36,280 ","$36,330 ","$36,580 ","$36,780 ","$37,770 ",0.6,3.63
Construction and Building Inspectors (47-4011),610,5.9,$30.94 ,"$64,350 ",1.8,$21.76 ,$27.05 ,$30.04 ,$35.45 ,$40.59 ,"$45,250 ","$56,260 ","$62,470 ","$73,730 ","$84,420 ",0.713,0.8
Fence Erectors (47-4031),220,38.2,$21.13 ,"$43,940 ",6.7,$14.58 ,$20.09 ,$20.90 ,$22.60 ,$25.42 ,"$30,320 ","$41,780 ","$43,470 ","$47,020 ","$52,870 ",0.253,1.73
Hazardous Materials Removal Workers (47-4041),940,12.2,$27.54 ,"$57,280 ",2.2,$17.02 ,$18.67 ,$25.09 ,$30.94 ,$42.24 ,"$35,400 ","$38,830 ","$52,180 ","$64,350 ","$87,860 ",1.098,3.35
Highway Maintenance Workers (47-4051),"1,290",4.2,$21.64 ,"$45,020 ",0.6,$16.13 ,$18.47 ,$22.24 ,$24.08 ,$26.83 ,"$33,550 ","$38,410 ","$46,250 ","$50,090 ","$55,810 ",1.502,1.53
Rail-Track Laying and Maintenance Equipment Operators (47-4061),90,1.6,$34.28 ,"$71,300 ",0.6,$22.81 ,$31.02 ,$35.80 ,$38.26 ,$43.92 ,"$47,450 ","$64,520 ","$74,460 ","$79,570 ","$91,350 ",0.1,0.94
Septic Tank Servicers and Sewer Pipe Cleaners (47-4071),140,35.1,$23.44 ,"$48,760 ",10.8,$16.68 ,$17.38 ,$21.00 ,$22.44 ,$24.73 ,"$34,700 ","$36,140 ","$43,680 ","$46,680 ","$51,440 ",0.157,0.83
Miscellaneous Construction and Related Workers (47-4090),520,35.8,$25.22 ,"$52,460 ",5,$18.49 ,$21.44 ,$22.40 ,$28.77 ,$39.18 ,"$38,470 ","$44,600 ","$46,600 ","$59,840 ","$81,490 ",0.6,2.76
"Derrick Operators, Oil and Gas (47-5011)","1,070",23.8,$26.65 ,"$55,430 ",9.1,$14.84 ,$22.22 ,$28.94 ,$34.30 ,$35.01 ,"$30,870 ","$46,220 ","$60,200 ","$71,350 ","$72,820 ",1.245,17.39
"Rotary Drill Operators, Oil and Gas (47-5012)",650,18.9,$38.43 ,"$79,930 ",4.5,$26.78 ,$36.28 ,$41.13 ,$42.78 ,$47.71 ,"$55,700 ","$75,460 ","$85,540 ","$88,970 ","$99,250 ",0.752,8.86
"Service Unit Operators, Oil and Gas (47-5013)","2,080",15.2,$31.00 ,"$64,470 ",4.2,$21.58 ,$22.57 ,$27.92 ,$38.29 ,$47.04 ,"$44,890 ","$46,950 ","$58,080 ","$79,630 ","$97,850 ",2.416,8.44
"Excavating and Loading Machine and Dragline Operators, Surface Mining (47-5022)",240,15.1,$29.57 ,"$61,510 ",4.3,$21.28 ,$22.71 ,$27.48 ,$37.16 ,$40.29 ,"$44,270 ","$47,240 ","$57,160 ","$77,300 ","$83,790 ",0.278,1.25
"Earth Drillers, Except Oil and Gas (47-5023)",170,39.9,$25.93 ,"$53,920 ",9.7,$17.25 ,$18.19 ,$25.99 ,$26.62 ,$36.92 ,"$35,870 ","$37,840 ","$54,060 ","$55,360 ","$76,800 ",0.203,1.8
"Explosives Workers, Ordnance Handling Experts, and Blasters (47-5032)",80,11.8,$39.80 ,"$82,780 ",1.1,$32.89 ,$37.77 ,$40.41 ,$40.41 ,$45.26 ,"$68,420 ","$78,560 ","$84,050 ","$84,050 ","$94,130 ",0.093,2.52
Continuous Mining Machine Operators (47-5041),340,27.4,$23.77 ,"$49,430 ",6.5,$18.05 ,$18.12 ,$22.36 ,$28.51 ,$29.18 ,"$37,540 ","$37,690 ","$46,500 ","$59,290 ","$60,700 ",0.394,4.24
"Roustabouts, Oil and Gas (47-5071)","3,320",12.7,$24.50 ,"$50,950 ",3.8,$17.25 ,$17.92 ,$23.35 ,$30.14 ,$30.79 ,"$35,880 ","$37,270 ","$48,570 ","$62,700 ","$64,050 ",3.859,13.13
Helpers--Extraction Workers (47-5081),300,23.9,$21.41 ,"$44,530 ",7.6,$15.62 ,$16.41 ,$21.32 ,$26.65 ,$27.13 ,"$32,490 ","$34,130 ","$44,340 ","$55,430 ","$56,440 ",0.346,7.94
"Installation, Maintenance, and Repair Occupations (49-0000)","36,560",1.9,$26.61 ,"$55,360 ",0.7,$15.02 ,$18.08 ,$23.63 ,$31.74 ,$40.61 ,"$31,240 ","$37,610 ","$49,140 ","$66,020 ","$84,470 ",42.463,1.08
"First-Line Supervisors of Mechanics, Installers, and Repairers (49-1011)","3,550",3.2,$37.93 ,"$78,890 ",1.2,$22.02 ,$27.24 ,$35.42 ,$46.15 ,$57.02 ,"$45,810 ","$56,650 ","$73,680 ","$95,990 ","$118,610 ",4.119,1.06
"Computer, Automated Teller, and Office Machine Repairers (49-2011)",350,25.9,$21.26 ,"$44,220 ",4.2,$16.91 ,$17.99 ,$20.34 ,$22.67 ,$29.03 ,"$35,160 ","$37,410 ","$42,320 ","$47,160 ","$60,380 ",0.406,0.86
"Radio, Cellular, and Tower Equipment Installers and Repairers (49-2021)",200,21.5,$34.23 ,"$71,200 ",4.8,$24.90 ,$28.44 ,$37.44 ,$38.79 ,$40.62 ,"$51,790 ","$59,150 ","$77,880 ","$80,670 ","$84,490 ",0.231,3.12
"Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022)","1,100",16.1,$28.05 ,"$58,350 ",4.2,$17.49 ,$21.56 ,$26.45 ,$36.65 ,$39.97 ,"$36,370 ","$44,850 ","$55,020 ","$76,240 ","$83,140 ",1.278,1.28
"Electric Motor, Power Tool, and Related Repairers (49-2092)",(8) -,(8) -,$27.56 ,"$57,310 ",4.5,$24.08 ,$25.29 ,$28.77 ,$29.76 ,$31.74 ,"$50,080 ","$52,610 ","$59,850 ","$61,910 ","$66,020 ",(8) -,(8) -
"Electrical and Electronics Repairers, Commercial and Industrial Equipment (49-2094)",280,20.7,$36.45 ,"$75,820 ",3.7,$24.18 ,$30.95 ,$37.31 ,$42.38 ,$48.16 ,"$50,290 ","$64,380 ","$77,600 ","$88,140 ","$100,160 ",0.32,0.82
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay (49-2095)",150,27.8,$36.72 ,"$76,390 ",10.8,$23.05 ,$23.88 ,$34.89 ,$48.16 ,$52.66 ,"$47,950 ","$49,670 ","$72,570 ","$100,170 ","$109,520 ",0.174,1.17
"Electronic Equipment Installers and Repairers, Motor Vehicles (49-2096)",(8) -,(8) -,$26.48 ,"$55,070 ",8.2,$20.78 ,$26.45 ,$27.25 ,$28.23 ,$28.23 ,"$43,220 ","$55,020 ","$56,680 ","$58,720 ","$58,720 ",(8) -,(8) -
Audiovisual Equipment Installers and Repairers (49-2097),110,29.7,$23.59 ,"$49,070 ",3.3,$16.05 ,$19.54 ,$21.91 ,$24.44 ,$32.65 ,"$33,390 ","$40,640 ","$45,560 ","$50,830 ","$67,910 ",0.125,0.87
Security and Fire Alarm Systems Installers (49-2098),340,32.5,$22.61 ,"$47,040 ",4.5,$15.27 ,$18.03 ,$21.84 ,$28.66 ,$31.15 ,"$31,770 ","$37,500 ","$45,440 ","$59,610 ","$64,800 ",0.399,0.76
Aircraft Mechanics and Service Technicians (49-3011),930,12.6,$34.46 ,"$71,670 ",4.4,$18.59 ,$24.07 ,$36.77 ,$45.10 ,$46.54 ,"$38,670 ","$50,060 ","$76,480 ","$93,810 ","$96,800 ",1.076,1.22
Automotive Body and Related Repairers (49-3021),930,12,$24.50 ,"$50,960 ",2.3,$16.96 ,$18.40 ,$22.43 ,$27.04 ,$37.59 ,"$35,270 ","$38,270 ","$46,660 ","$56,250 ","$78,190 ",1.08,1.07
Automotive Glass Installers and Repairers (49-3022),90,26,$18.66 ,"$38,800 ",4.7,$15.22 ,$18.16 ,$18.38 ,$20.32 ,$20.38 ,"$31,650 ","$37,770 ","$38,230 ","$42,260 ","$42,380 ",0.105,0.85
Automotive Service Technicians and Mechanics (49-3023),"4,970",3.9,$24.68 ,"$51,330 ",1.4,$14.48 ,$17.46 ,$22.61 ,$29.93 ,$37.45 ,"$30,120 ","$36,320 ","$47,040 ","$62,260 ","$77,900 ",5.772,1.29
Bus and Truck Mechanics and Diesel Engine Specialists (49-3031),"1,630",7.9,$28.14 ,"$58,540 ",4.7,$17.64 ,$22.06 ,$24.86 ,$30.91 ,$38.65 ,"$36,690 ","$45,890 ","$51,720 ","$64,300 ","$80,400 ",1.89,1.01
Farm Equipment Mechanics and Service Technicians (49-3041),120,12.9,$25.03 ,"$52,060 ",3.9,$16.43 ,$18.54 ,$23.42 ,$28.89 ,$38.55 ,"$34,170 ","$38,570 ","$48,710 ","$60,100 ","$80,180 ",0.145,0.6
"Mobile Heavy Equipment Mechanics, Except Engines (49-3042)","1,290",8.5,$29.78 ,"$61,940 ",1.6,$21.00 ,$23.74 ,$29.36 ,$34.98 ,$41.92 ,"$43,680 ","$49,370 ","$61,080 ","$72,750 ","$87,190 ",1.498,1.28
Rail Car Repairers (49-3043),120,10.6,$32.09 ,"$66,740 ",2.6,$24.36 ,$25.23 ,$29.69 ,$37.73 ,$37.73 ,"$50,660 ","$52,480 ","$61,750 ","$78,480 ","$78,480 ",0.134,1.13
Motorboat Mechanics and Service Technicians (49-3051),(8) -,(8) -,$15.93 ,"$33,130 ",1.3,$14.21 ,$15.00 ,$16.48 ,$17.12 ,$17.31 ,"$29,550 ","$31,200 ","$34,280 ","$35,610 ","$36,010 ",(8) -,(8) -
Motorcycle Mechanics (49-3052),90,19.3,$19.01 ,"$39,530 ",6.4,$14.43 ,$15.37 ,$16.87 ,$23.17 ,$24.27 ,"$30,010 ","$31,980 ","$35,080 ","$48,180 ","$50,480 ",0.109,1.2
Outdoor Power Equipment and Other Small Engine Mechanics (49-3053),140,8.4,$21.33 ,"$44,370 ",2.7,$14.62 ,$18.50 ,$20.75 ,$23.75 ,$29.05 ,"$30,420 ","$38,480 ","$43,160 ","$49,390 ","$60,430 ",0.163,0.73
Recreational Vehicle Service Technicians (49-3092),130,8.4,$26.28 ,"$54,660 ",3.8,$16.09 ,$21.67 ,$24.53 ,$29.70 ,$36.79 ,"$33,460 ","$45,070 ","$51,020 ","$61,780 ","$76,530 ",0.151,1.25
Tire Repairers and Changers (49-3093),"1,430",5.8,$16.05 ,"$33,380 ",1,$13.65 ,$14.22 ,$14.92 ,$16.73 ,$18.99 ,"$28,390 ","$29,580 ","$31,030 ","$34,810 ","$39,510 ",1.657,2.4
Mechanical Door Repairers (49-9011),40,35.4,$20.91 ,"$43,480 ",5.5,$16.05 ,$17.51 ,$21.29 ,$25.03 ,$25.46 ,"$33,390 ","$36,430 ","$44,270 ","$52,050 ","$52,950 ",0.046,0.26
"Control and Valve Installers and Repairers, Except Mechanical Door (49-9012)",190,17.9,$32.75 ,"$68,120 ",6.3,$20.67 ,$21.73 ,$31.56 ,$40.07 ,$48.82 ,"$42,990 ","$45,190 ","$65,650 ","$83,350 ","$101,540 ",0.226,0.74
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021)","1,820",12.9,$27.01 ,"$56,190 ",3.5,$17.59 ,$19.40 ,$26.45 ,$30.98 ,$37.49 ,"$36,580 ","$40,360 ","$55,020 ","$64,430 ","$77,980 ",2.119,0.82
Home Appliance Repairers (49-9031),130,21,$20.56 ,"$42,770 ",6,$13.04 ,$13.05 ,$21.75 ,$23.89 ,$31.25 ,"$27,130 ","$27,140 ","$45,250 ","$49,700 ","$64,990 ",0.146,0.7
